id,Experiment01,Experiment02
Or1j1,3.0788,-2.0811
Rfc3,-2.0288,21.4733
Gpr152,7.4073,-2.251
Hopx,7.2571,-16.799
Tkfc,3.8294,-46.6565
Sc5d,10.221,6.3116
Il24,-17.953,9.5175
Sf3b5,6.5183,15.1074
Polr2h,13.2307,-4.9512
Or10d1,6.4413,0.2606
Rad54l,-24.8109,-54.6547
Pqbp1,-16.617,18.9614
Tubb3,8.805,0.2273
Runx1t1,22.3565,7.061
Prkar1b,-13.4345,-1.6677
Eif2s3x,7.1413,-1.618
Pdlim7,1.6017,-20.7285
Slc38a3,-1.8079,4.2454
Socs1,-5.4692,14.0086
Hc,3.3879,-4.5785
Rps12,4.8699,-6.0934
Fxyd2,1.6452,21.5284
Pttg1,11.1034,-9.6696
Il5ra,11.3647,21.4283
Haao,5.1668,-12.9852
Fgf17,8.2258,26.35
Pla2g4a,16.2761,-6.7128
Ccr8,4.4842,24.0282
Mbd2,4.9223,-39.2899
Map4k1,-32.4584,-28.3852
Spcs3,4.5594,6.3927
Aqp4,12.2594,3.8465
Il11,-27.6355,-31.151
Atp5g3,-3.2885,-24.124
Abcb10,-0.506,23.3393
Polr3gl,-5.6894,-16.7925
Csrp1,7.0779,-3.2267
Rab2a,4.9649,3.8112
Ccnd3,5.7578,7.2136
Ltb,0.4546,-0.8895
Prkdc,7.5341,-20.3682
Sult1b1,-7.6887,16.8276
Ubc,6.6591,-3.9914
Ltb4r2,-5.9568,-4.5629
Creb3l1,-24.3515,25.8469
Rpl35,-30.8836,-27.6369
Rpl13,1.1175,19.3113
Cyb5r3,4.1494,37.5607
Hnrnpa1,1.981,-35.0167
Lamp1,-13.8116,-10.4992
Myh1,0.371,-22.0987
Psmc2,-0.9268,-11.5365
Dync1i1,4.3976,14.6058
Nrf1,7.0738,-11.6977
Gsta1,0.3603,13.0744
Ulk3,-13.3439,-21.4414
Mgat5b,-6.7588,-17.1108
Rbpj,-2.3414,5.1153
Zfp219,-6.0354,6.2351
Smad5,2.3713,2.9908
Akr1b10,4.3118,1.6156
Grik4,-7.9447,20.8718
Zfp110,-1.2357,2.5733
Or8b40,-8.7681,-34.7314
Tas2r108,19.3548,27.5668
Mphosph6,5.3494,-6.3731
Gga2,18.3262,-8.2995
Atf6b,11.2475,-9.3065
Nr2c1,-30.5239,-26.6014
Rab11fip4,-16.3229,-23.5799
Ifna5,18.2633,7.8603
Atp5g2,-0.2434,-2.6506
H3c15,15.2527,-14.7466
Pip5k1a,-9.0265,-24.1946
Syt11,2.4228,-6.8219
Acsl4,-7.8436,-28.2751
Nkx2-2,6.8063,12.3862
Or6b3,-14.8796,-10.3939
H3c2,18.5146,28.4011
Tle1,-0.8716,-41.9711
Gtf2h1,7.4057,9.5442
Cyp2w1,-12.512,16.888
Fgf3,-1.1436,8.7633
Foxa2,12.4978,8.7102
Cxcl5,20.607,19.2691
Nr1d2,27.3979,-5.3097
Cdkn1b,17.6816,9.5442
Sema7a,8.6548,-12.579
Setdb1,-4.3304,6.0355
Htr4,-27.4055,13.6788
Cfd,5.12,-0.2339
Gga3,-4.5479,5.4687
Neurog3,-1.0122,-1.6014
Mthfs,-1.3591,-20.3688
Pigo,-12.6478,-13.8025
Nufip1,4.7976,-1.199
Or2a51,13.3612,4.9997
Alppl2,3.0001,1.043
Akap3,10.9407,4.5171
Mrpl23,-0.5194,-20.3253
Abcd1,3.2046,2.7581
Mir136,5.5409,7.1507
Abcb11,22.3453,32.8191
Itga6,-35.3402,-19.3238
Arf1,12.7971,11.0509
Stk3,4.4644,-28.6783
Cul4b,-4.2686,-24.7359
Mvb12b,9.3249,2.0102
Rala,4.669,-22.8229
Ascl1,-9.8109,-7.413
Stag3,8.0738,8.3105
Lss,7.9712,18.1726
Mboat7,-6.4202,4.8536
Gnai1,6.4681,28.4183
Acsbg1,2.95,-10.01
Acer3,12.9435,-23.6836
H3c3,-6.0406,10.808
Or8i2,-9.3051,27.2283
Ppcdc,8.4921,0.2097
Parp4,-5.7847,3.4682
Atf2,0.4267,25.51
Rel,-2.2447,-17.1194
Lpar3,7.2158,14.3668
Fbp2,4.4651,-10.823
Pde11a,0.0943,13.9454
Clock,9.6941,2.6744
Or7e178,0.3441,-3.6869
Arap1,-5.5197,-0.7534
Arfgap1,8.1454,7.6746
Slc11a2,6.8865,-20.7258
Gpr65,-8.146,-7.6312
Cdh3,-19.9353,0.7007
Gcnt2,3.4483,-38.8743
Grm6,-2.3744,-9.4221
Apoe,6.6192,9.2439
Runx2,-18.8923,-27.9422
Cox4i1,-42.5345,-16.9854
Psme1,-9.3831,-28.4774
Setd1b,-10.9751,1.8148
Fcer1g,-4.6996,-38.4012
E130112N10Rik,5.4058,8.0891
Il15,26.5764,-0.7238
Rpl7,2.5977,7.7579
Cyfip2,3.2425,16.2494
Prr5l,-2.8776,9.839
Rb1,9.5097,12.1204
Diaph3,-7.0594,-17.3287
Cmklr1,4.1276,-1.6794
Gnpat,-7.6826,-1.0244
Cntnap2,-15.571,-0.6448
Zfp36,15.2657,-21.0786
Rrad,-3.2634,-7.0383
Pde7a,8.3985,10.2985
Mdh1,0.1749,-17.2988
Abcg5,2.5564,3.0405
Uchl1,3.1881,-11.5074
Wnt9b,-2.2087,27.3093
Mir222,-1.4635,1.1753
Ptgs1,-12.0835,19.1084
Akr1b8,5.0103,6.7195
Mettl6,-0.943,-33.9494
Srsf7,4.864,11.5268
Masp2,13.4004,23.3405
Igf1r,-2.5172,-35.5255
Selenoh,8.7333,19.4889
Sirt6,-13.2757,-32.5628
Selp,2.0426,31.576
Sardh,-5.4679,-39.7518
Poll,-26.4367,-54.8864
Slc9a3,15.9681,37.2215
Ntf5,-11.3276,-1.6609
Olig1,-0.9137,-8.3483
Nt5c1b,17.7154,3.9004
Rbfox2,-9.0744,-2.8159
Cers5,-3.7418,15.9778
Abcc1,-12.3226,-16.7612
Paip1,2.1633,-29.8055
Dbt,-2.7967,17.086
Tyrp1,-4.028,-40.925
Mgat4a,-9.9121,-17.8491
Cdh1,-4.7628,26.5516
Pitx2,7.9752,-19.0001
Capn1,6.4915,27.0772
Dnah3,14.9635,-11.5254
Mmp27,9.02,5.1446
Cyp2j6,-7.8657,22.2146
Setdb2,-2.0516,-2.9487
Fau,1.2605,5.1379
Abl2,-0.0582,-38.6347
Htr1b,-14.8098,-37.2088
Tyms,-2.7686,2.2989
Selenon,-16.1872,16.2664
Or6b2,3.6981,9.8484
Sirpa,-33.6064,-0.9412
Itga5,-25.5092,-27.8271
Efna4,0.0878,-10.8293
Ccnd2,4.5333,20.6224
Xpc,-2.4319,13.6077
H3c7,3.9481,1.864
Ifnlr1,-15.247,7.8102
Ccl4,-20.3716,6.0591
Ptpn12,1.0597,-15.0629
Ppp1r1b,4.4002,4.9054
Rara,13.1222,-9.6736
Dmd,4.2598,-24.0632
Dio2,23.88,9.8482
Acvr2b,1.5145,9.3829
Insrr,1.244,-1.6795
Polr2d,6.876,15.9087
Lct,0.2684,-28.295
Xylb,3.2857,7.771
Blm,-19.2869,-19.3352
Ehd1,-5.7941,36.2255
Rarg,13.3888,-3.6648
Or6c68,-4.1374,-27.7399
Ilf3,8.3303,-8.4532
Selenos,-10.6383,-13.2848
Flna,1.5842,-24.4473
Mapk11,-7.8877,-36.6322
Gprc5a,-26.4786,-49.6158
Src,9.5104,-5.9217
C9,1.8842,-18.9856
Polrmt,15.3863,8.2119
Prkn,-26.8207,21.9799
Chst15,-6.1994,16.2305
Ptpro,0.5456,-20.7253
Cyp2a4,-6.4711,11.4236
Cd2ap,14.9093,32.9393
Engase,4.4118,4.1347
Tubal3,-11.3415,-0.3805
Rpl21,8.2906,15.0788
Vta1,0.4164,-6.4987
Nkx3-2,0.2991,26.0664
Il18rap,-27.9946,5.2997
Arhgef26,9.4699,-8.0123
Lamb1,20.352,0.793
Akr1b3,0.6026,5.7608
Creb3,-0.6787,-20.5453
Tbl1x,3.5988,-0.0317
Prdx1,4.1247,-15.719
Alg1,-1.0169,-0.3471
B4gat1,1.636,1.0101
Ptk6,11.6821,11.5268
Scaf8,17.3045,-3.0606
Htr5b,8.6706,22.2632
Ccdc6,23.4641,-17.1394
Prim2,-36.9034,-30.6267
Fcgr2b,11.883,-22.1976
Tubb4a,8.8293,12.9067
Acot1,-1.845,-19.4367
Uqcrc2,-0.5931,-1.6673
Bmp7,-5.8793,30.661
Ugt2b37,-9.3647,26.7158
Hnrnpa3,-0.6021,18.1207
Or14c45,7.5845,14.409
Rbm28,-5.4446,19.9722
Tfam,21.6783,4.7052
Ifih1,-26.3072,8.5531
E2f6,-6.8912,-19.387
Slit2,6.2453,-33.0524
Dhodh,-4.8594,6.3131
Prkd3,-16.8543,-39.6466
Cks1b,-2.1053,-23.2605
Impdh2,-3.5751,18.0122
Gadd45g,14.6683,-1.0002
Ptgfr,6.0315,20.5861
Plcg2,4.9386,-5.0976
Pigb,-5.0288,14.4776
Nr1h3,-20.1,-37.2414
Ifna12,27.0636,14.9536
Thbs3,-6.34,21.6267
Dlk1,6.1438,6.9803
Lig3,7.338,0.5288
Rab23,-18.1436,28.171
Cdh6,6.7522,13.9726
Srd5a3,-9.3634,26.713
Grsf1,6.2776,2.2177
Peg12,-2.1576,-15.422
Or2t29,4.6657,14.8862
Srgap3,1.7689,-20.3324
Lpl,-23.7518,-22.6833
Sufu,7.6556,0.796
G3bp1,-7.1539,-37.9671
Cwc15,8.7277,-3.6062
Nfasc,-4.4463,11.648
Cyba,6.2038,-19.5999
Epn2,-11.2662,-4.4023
Cry1,1.714,-36.6726
Or51t4,9.0666,11.8192
Tbk1,24.4446,27.9742
Rpl4,11.4732,22.5866
Ncor1,-13.4423,2.2905
Wnk4,-28.5309,27.1095
S100a8,-19.364,-34.8813
Klf11,-1.6647,-12.5136
Raet1e,0.5071,6.9222
Cmas,-4.5227,6.2864
Fn1,5.6303,3.002
Ramp3,-15.2988,-29.6349
Adgrf4,9.0921,-4.3476
Camkk2,3.346,8.875
Rbm4b,2.0771,-18.982
Atp5f1c,7.934,-16.9664
Chrm5,1.2168,-15.5142
Cd38,-5.4584,2.4641
Ssh1,0.0557,0.8071
Cyp46a1,3.3151,-11.5128
Apex2,-3.2439,-5.1236
Hcrtr2,17.6606,-14.9873
Pdk2,-9.7504,15.416
Cntn2,0.9813,-16.1303
Cxcl2,2.3003,7.5972
Adamts4,0.4945,2.2889
Skic8,-8.8921,-19.4205
Pmvk,19.3036,-29.9448
Csn3,-6.4188,-21.0909
Peli1,7.3159,-5.2314
Ppp2ca,-15.5008,10.1247
Foxc2,1.1467,-18.2146
Ifna15,-1.8802,12.8077
Dvl1,-3.5583,4.8351
Or4n5,-3.6696,-14.8429
H6pd,4.5927,1.0146
Pak2,-3.2666,9.018
Lsm5,-6.5749,3.8651
Anapc10,-12.8714,27.3537
Elavl4,5.9198,5.4921
Bclaf1,-14.3396,-28.3872
Ssh3,6.789,-5.8311
Slc1a2,4.9769,31.6795
Rdh1,-11.1409,4.1066
Stx5a,-3.8727,11.2435
Gabarapl2,0.0255,22.6291
Anapc1,16.1331,-1.7554
Pde10a,-18.9135,21.2017
Xylt2,-1.0155,22.2466
Or4c3,-7.8718,-0.9657
Magi3,7.6788,-4.0024
Exosc7,8.0336,21.2289
Polr1h,7.9109,-0.7961
Siah1b,-20.6499,-50.4969
Shmt2,16.8648,8.8626
Ndufa8,10.6068,16.5534
Cnga4,-16.8425,-23.2266
Ide,-27.7788,16.5436
Grk5,-10.3754,1.9841
Angpt1,2.719,4.2591
Ncan,27.6699,23.1589
Or1e17,1.7418,15.1689
Cpsf4,-0.819,7.1163
Sema3c,-5.7293,-11.1432
Nrg3,2.2798,-8.9004
Gp5,-2.3265,-22.4375
Or10j2,-1.5878,-19.9655
P2ry10,-11.5293,-39.8421
Pabpc1,-9.407,-38.0061
Zbtb16,-6.3988,-7.2672
Rassf1,0.5723,5.7894
B2m,5.6441,8.5574
Spry1,-1.2721,6.622
Pgls,2.1842,-4.8896
Map2,-11.0151,12.2047
Or4f7,-13.1909,-32.9359
Lpar6,0.8639,13.7648
Sympk,-3.8523,-6.0757
Dusp7,8.5247,-5.5963
Fbxo5,1.8898,-1.0616
Irf8,5.3985,-2.3723
Notch3,-6.6591,-13.6953
Hcls1,-4.3486,2.8315
Grm2,-11.876,2.5586
Wasf2,3.2794,21.5325
Nr1d1,-0.6924,-28.56
Shc1,-6.6022,7.6386
Ear2,4.0548,-21.284
Gamt,0.6024,14.0832
Rtn4r,2.826,-6.7366
Atp5f1e,1.2073,8.3212
Iqsec3,3.8152,7.5892
Cdc25c,-1.4265,1.5121
Uchl4,-16.6579,22.1425
Pigf,-14.6301,0.2749
Acsbg2,-14.3212,6.5556
Tbpl2,-3.3495,-0.1981
Zmat4,-4.6241,-2.0094
Pex11b,-5.8243,-28.9282
Ncr1,-4.2864,-31.0425
Car8,10.5703,8.6305
Gucy2f,-11.1083,19.925
Mir1224,-9.5695,-26.9077
Tcf7,15.7651,6.1414
Rbmx,3.5811,6.9815
Prickle2,15.1458,-29.5574
Arpc5l,-3.948,-13.6176
Rcor1,-16.2277,-16.1333
Tas2r105,1.1919,-10.0556
Ugp2,-62.2068,-54.0171
Or10g9b,9.3028,-13.3493
Prps2,20.2088,5.0709
Gtf2i,0.7435,-25.7801
Rtn4,0.6586,-13.3458
Or2l5,-5.3547,7.0753
C1rb,-5.2519,-34.8938
Or5l14,4.1676,8.8391
Lhb,0.7875,-3.9691
Polr3d,0.8515,21.8419
Bpnt1,13.3825,28.5443
Il1rn,5.4151,16.6823
Naa40,0.8351,-31.5084
Plec,1.0327,28.9825
Cebpd,3.5041,2.7376
Hnrnpu,9.8045,1.6994
Or8k3,12.0617,11.0916
Ptdss2,-12.7174,16.2341
Ackr3,0.2195,-4.4631
Foxo1,-0.23,7.683
Mgll,-3.4801,21.3499
Cyp26b1,3.635,-8.0005
Pde3a,-4.0157,7.0608
Gstm6,-0.487,-24.1385
Gpr141,-3.506,-21.2866
Gbx2,10.8414,-9.8233
Vars2,-2.6665,24.8201
Nars,8.8052,-6.963
Mirlet7b,-43.1952,-43.3498
Ercc8,-2.8239,3.1738
Tob1,8.9988,22.5124
Gale,-13.4313,-11.5012
Abcb4,26.2589,-37.1004
Gal3st2,-7.308,20.2465
Myh8,-25.8796,-2.2422
Ncdn,16.8435,-19.7311
Or1e23,-5.3107,-8.0065
Traf5,-25.3405,-29.687
Rpe65,-20.2649,16.3672
Foxo3,-2.1454,-14.6846
Rhoj,-0.5951,3.6359
Exosc4,-3.684,2.5167
Tpra1,-0.0748,16.5181
Slc25a17,41.7959,19.4497
Map3k20,-7.4372,-41.8549
Robo4,0.7471,-10.9738
Gtf2a1l,-1.4826,-32.9341
Rps6kb1,-6.5842,-17.2201
Etf1,4.4062,-38.9538
Acaa1b,12.5758,0.6248
Cd79a,-14.1703,0.3142
Lef1,19.8194,28.3438
Mpz,14.195,35.2571
Pank2,-1.3869,-4.4252
Cyp2r1,-0.6553,28.9403
Stx12,14.0379,-11.9255
Il22ra1,0.7862,12.8177
Dab1,-26.2665,-9.0282
Mdm2,-2.9256,27.4583
Cln5,10.6226,-22.4783
Gabpb1,0.6289,9.3633
Grin2a,7.5902,5.5176
Mta2,-11.9104,4.8245
Pigx,-4.4288,9.3545
H2bc14,11.0,14.8175
