Kinase	down (Experiment01)	up (Experiment01)	not (Experiment01)	-Log10 p_value (Experiment01)	Log2 Enrichment (Experiment01)	-Log10 p_value adjusted (Experiment01)	down (Experiment02)	up (Experiment02)	not (Experiment02)	-Log10 p_value (Experiment02)	Log2 Enrichment (Experiment02)	-Log10 p_value adjusted (Experiment02)
DAPK2	2.833333333333333	0.0	0.0	0.1707369968424995	-0.2861459283920283	0.13612676019198147	0.0	2.5	0.0	0.3041195482525559	1.1622714288988771	0.1594417202030498
RPS6KA3	20.0	1.5	0.0	1.63628100123944	-2.275061489849388	0.14075244414621035	1.0	21.166666666666668	0.0	3.9350495804505323	4.145147428407916	2.1532942057980633
RPS6KA5	5.666666666666666	1.3333333333333333	0.0	0.23053175636502915	-0.3759679346002517	0.13612676019198147	1.0	6.666666666666665	0.0	0.7606995946296582	2.134301091711591	0.3681103043417218
CSNK1E	9.0	2.0	0.0	0.2926845786857526	-0.4780472968046442	0.13612676019198147	1.8333333333333333	9.833333333333332	0.0	1.271660205716894	1.8620351828677528	0.6512728332994
CSNK1G2	6.75	1.0	0.0	0.3161439885704107	-1.0793224526614056	0.13612676019198147	1.5833333333333333	6.833333333333333	0.0	0.7424626251233296	1.491659180991925	0.3672474309048159
GSK3B	6.75	1.3333333333333335	0.0	0.300957600495304	-0.6463630453852993	0.13612676019198147	1.0833333333333333	6.666666666666667	0.0	0.7424626251233296	2.0161497399933297	0.3672474309048159
CSNK1A1	10.000000000000002	0.8333333333333333	0.0	1.157332930256353	-1.9736887228841535	0.13612676019198147	1.9999999999999998	8.5	0.0	1.0885977780128324	1.4916120243864475	0.5457244922755004
GRK2	3.4166666666666665	2.833333333333333	0.0	0.49802695969926747	1.561627041783999	0.13612676019198147	1.0	4.916666666666667	0.0	0.44098738599792286	1.6585341554363717	0.22159646155310306
GSK3A	7.249999999999999	3.333333333333333	0.0	0.39287691402368513	0.6765585003036527	0.13612676019198147	1.4166666666666665	8.833333333333332	0.0	1.0885977780128324	2.070857497458411	0.5457244922755004
GRK3	3.6666666666666665	2.6666666666666665	0.0	0.49802695969926747	1.3587300583768898	0.13612676019198147	0.75	5.25	0.0	1.0545271950093151	2.183079497311622	0.5438385926433842
TTBK2	5.833333333333334	1.0	0.0	0.24246731773796243	-0.8535033828614937	0.13612676019198147	0.7499999999999999	5.75	0.0	1.0545271950093151	2.324703176369874	0.5438385926433842
MAP3K3	2.1666666666666665	1.0	0.0	0.2573993825352393	0.6347851993597282	0.13612676019198147	0.0	3.8333333333333335	0.0	0.4490692140980899	1.6543466320784848	0.22159646155310306
MAP3K8	5.833333333333333	0.5	0.0	0.5698262521242927	-1.8799755942226846	0.13612676019198147	1.0	4.0	0.0	0.4340666115406488	1.3421059768249928	0.22159646155310306
MAPKAPK2	10.0	1.8333333333333333	0.0	0.6189420187977682	-0.7820777937947675	0.13612676019198147	2.5	9.833333333333332	0.0	0.8588226436406388	1.3926336530158545	0.4071736183413325
CHEK1	4.0	0.0	0.0	0.2550358653803948	-0.6880559936852598	0.13612676019198147	1.0	2.0	0.0	0.16893813933623675	0.3020285374496575	0.1594417202030498
MAP2K1	1.5000000000000002	2.5	0.0	0.8907112227211692	2.580240090478753	0.13612676019198147	1.5000000000000002	1.5	0.0	0.21091522621976286	-0.7239389138699669	0.1594417202030498
TSSK2	2.0	0.0	0.0	0.17294919896477495	0.08061846020828463	0.13612676019198147	0.0	1.0	0.0	0.17248837731629782	0.32577016118175656	0.1594417202030498
CAMK2B	7.5	5.666666666666667	0.0	0.9909605261886676	1.5323355700699461	0.13612676019198147	3.0	8.666666666666666	0.0	0.48446807117793184	0.9051173515783849	0.22159646155310306
CAMK2A	11.333333333333336	5.666666666666667	0.0	0.5547842816795379	0.870548748544798	0.13612676019198147	3.75	11.750000000000002	0.0	0.8363026401656466	1.0655841176569931	0.4071736183413325
SBK1	3.75	1.0	0.0	0.1805522963401788	-0.1819978337428873	0.13612676019198147	1.75	2.0	0.0	0.16425389666084317	-0.529573930854624	0.1594417202030498
MAPKAPK3	6.5	0.5	0.0	0.6872118508421468	-2.047171204029027	0.13612676019198147	1.5	4.5	0.0	0.4298032190454091	0.9211445792887604	0.22159646155310306
TSSK6	3.0	1.0	0.0	0.1828868920739685	0.15200309344505006	0.13612676019198147	0.5	2.5	0.0	0.414874388847224	1.649813645071124	0.22159646155310306
PRKD1	7.75	1.0	0.0	0.3950146097047889	-1.2954558835261714	0.13612676019198147	2.75	5.5	0.0	0.3319568726389961	0.31568715491321725	0.1594417202030498
TSSK1B	1.5	0.5	0.0	0.11175913404697548	0.14937762403822666	0.10828554416635097	0.5	0.5	0.0	-0.0	0.0	-0.0
CAMK1D	3.0	3.0	0.0	0.8668515713338911	1.84799690655495	0.13612676019198147	0.5	5.5	0.0	1.0545271950093151	2.848285186112486	0.5438385926433842
CAMK2D	4.0	1.0	0.0	0.17219128680909576	-0.27915407119707086	0.13612676019198147	2.0	2.0	0.0	0.3086516681065189	-0.7303929402427201	0.1594417202030498
NUAK2	7.0	0.0	0.0	0.5012310556376004	-1.4150374992788437	0.13612676019198147	2.5	3.5	0.0	0.20183543675655582	-0.23150101375941937	0.1594417202030498
FAM20C	5.5	5.666666666666667	0.0	1.335099082372674	2.0131531439875987	0.13612676019198147	0.0	10.166666666666666	0.0	1.7164541065921683	2.9949691990709444	0.9824638840197852
DSTYK	3.0	0.0	0.0	0.18424273323798251	-0.35018635492887573	0.13612676019198147	0.0	2.0	0.0	0.29934942280839744	0.9300979867698438	0.1594417202030498
CLK3	6.25	2.1666666666666665	0.0	0.2367946984381381	0.21925097567039095	0.13612676019198147	0.25	8.166666666666668	0.0	1.7162957063550712	4.4829512559443305	0.9824638840197852
SRPK3	3.0	1.5	0.0	0.1907324038040052	0.7639326417664756	0.13612676019198147	0.0	3.5	0.0	0.4490692140980899	1.5446047631050153	0.22159646155310306
MAP3K21	3.3333333333333335	0.5	0.0	0.33854310133884397	-1.031825445855398	0.13612676019198147	0.0	2.833333333333333	0.0	0.3041195482525559	1.3000736781992919	0.1594417202030498
ERN2	1.3333333333333333	0.0	0.0	0.24582534734744602	0.45360515553833153	0.13612676019198147	0.0	0.3333333333333333	0.0	0.20323248281633918	-0.2719596356132778	0.1594417202030498
SRPK2	3.0	1.5	0.0	0.1907324038040052	0.7639326417664756	0.13612676019198147	0.0	3.5	0.0	0.4490692140980899	1.5446047631050153	0.22159646155310306
EEF2K	3.0	0.0	0.0	0.18424273323798251	-0.35018635492887573	0.13612676019198147	0.0	2.0	0.0	0.29934942280839744	0.9300979867698438	0.1594417202030498
CAMKK1	3.0	0.0	0.0	0.18424273323798251	-0.35018635492887573	0.13612676019198147	0.0	2.0	0.0	0.29934942280839744	0.9300979867698438	0.1594417202030498
BMPR2	1.0	0.5	0.0	0.1106982974936897	0.7422022425323533	0.10828554416635097	0.0	0.5	0.0	0.20323248281633918	-0.0988533869262855	0.1594417202030498
LATS2	9.5	1.0	0.0	0.5659092537741758	-1.619110723133002	0.13612676019198147	4.0	5.5	0.0	0.3223257519337263	-0.26719203130745	0.1594417202030498
PRKX	14.833333333333334	1.0	0.0	1.0534250756655235	-2.3571768206144896	0.13612676019198147	3.0	12.833333333333334	0.0	1.0081756364797843	1.5650569744206055	0.5127270006705903
STK38	13.0	1.0	0.0	0.9370422768860736	-2.1333991254171982	0.13612676019198147	5.25	8.75	0.0	0.22793963508687667	0.03584519894672215	0.1594417202030498
STK38L	21.0	2.333333333333333	0.0	1.2091516340336763	-1.6818240399737454	0.13612676019198147	6.083333333333333	17.25	0.0	0.8354213708002902	0.9708327022182744	0.4071736183413325
PASK	11.25	0.8333333333333333	0.0	1.2925618711017215	-2.1655063301753077	0.13612676019198147	2.75	8.833333333333332	0.0	0.7127885986133785	1.0701218664196686	0.3487816259864997
PRKACG	10.833333333333334	0.0	0.0	0.7957323465695773	-2.0448321092949935	0.13612676019198147	2.0	8.833333333333332	0.0	0.7342690773669721	1.5543568760575384	0.3622554758485209
PRKACB	11.833333333333332	2.0	0.0	0.42775424207557444	-0.9224088755634319	0.13612676019198147	3.0	10.833333333333332	0.0	0.7290375025301719	1.2749554314271323	0.3622554758485209
PRKCG	2.3333333333333335	0.0	0.0	0.1707369968424995	-0.07662128160291251	0.13612676019198147	0.3333333333333333	1.0	0.0	0.2041199826559248	0.8885787173315771	0.1594417202030498
PRKACA	7.833333333333332	1.0	0.0	0.3950146097047889	-1.3122968729034843	0.13612676019198147	2.0	5.833333333333332	0.0	0.34316402989423994	0.8917471093479763	0.1594417202030498
LATS1	7.25	0.0	0.0	0.5082016026660098	-1.4635832619077647	0.13612676019198147	2.25	4.0	0.0	0.22389851518265186	0.13153899088533444	0.1594417202030498
PRKCD	2.3333333333333335	0.0	0.0	0.1707369968424995	-0.07662128160291251	0.13612676019198147	0.3333333333333333	1.0	0.0	0.2041199826559248	0.8885787173315771	0.1594417202030498
CSNK2A1	4.5	8.999999999999998	0.0	3.14288602827464	3.2196780366394115	1.1874388176969441	0.8333333333333333	12.166666666666668	0.0	2.635883808105334	3.3916247920778626	1.4183998638914277
CSNK2A2	4.0	8.499999999999998	0.0	3.170018663755052	3.2777940533544885	1.1874388176969441	0.3333333333333333	11.666666666666668	0.0	2.4018006020719658	4.657459491574546	1.3492187237142663
CAMK2G	5.000000000000001	3.666666666666667	0.0	0.5918055655639468	1.4071105835072149	0.13612676019198147	0.7499999999999999	7.416666666666666	0.0	1.493152486385716	2.727058713111174	0.8197365865220853
TP53RK	6.5	2.666666666666667	0.0	0.2367946984381381	0.4862609960520471	0.13612676019198147	2.3333333333333335	6.333333333333333	0.0	0.44814608024492625	0.7874950657402129	0.22159646155310306
CDC7	5.5	5.666666666666667	0.0	1.335099082372674	2.0131531439875987	0.13612676019198147	0.3333333333333333	11.333333333333334	0.0	2.4018006020719658	4.608066096175118	1.3492187237142663
GRK6	5.5	5.166666666666667	0.0	1.335099082372674	1.8479437206213802	0.13612676019198147	0.0	10.166666666666666	0.0	1.7164541065921683	2.9949691990709444	0.9824638840197852
TGFBR1	1.0	6.666666666666666	0.0	3.320848605002372	4.845490050944375	1.1874388176969441	0.8333333333333333	6.333333333333333	0.0	1.2725829556085326	2.321647932726876	0.6512728332994
PLK3	1.0	3.5	0.0	1.4528237697650876	3.716207033999409	0.13612676019198147	0.0	4.0	0.0	0.5973405951848199	1.7065919451226874	0.27902076963384775
PLK2	0.0	3.0	0.0	1.931503236613817	3.8541491335365454	0.373996034708159	0.0	2.5	0.0	0.3041195482525559	1.1622714288988771	0.1594417202030498
ACVR1	1.5000000000000002	7.333333333333333	0.0	3.9705920079270483	4.435972645813308	1.4130848060213903	0.9999999999999999	7.333333333333333	0.0	1.493152486385716	2.285948797781796	0.8197365865220853
BMPR1A	2.0	5.0	0.0	2.140711199862467	3.306160779029046	0.42907047429405404	0.9999999999999999	5.5	0.0	1.0545271950093151	1.8323436422434647	0.5438385926433842
MOS	3.5	6.333333333333334	0.0	2.371698944921015	2.9020205556217835	0.5131617473513759	0.5	9.833333333333332	0.0	1.94207474959986	3.779412892253185	1.1383609795258969
VRK2	4.0	0.8333333333333333	0.0	0.4492413988325338	-0.5510666283773177	0.13612676019198147	0.8333333333333333	4.0	0.0	0.829847736818042	1.610473826961827	0.4071736183413325
TLK2	1.0	0.0	0.0	0.2484205021040048	0.6811778159804592	0.13612676019198147	0.0	1.0	0.0	0.17248837731629782	0.32577016118175656	0.1594417202030498
VRK1	1.5	0.3333333333333333	0.0	0.11175913404697548	-0.44430209378403845	0.10828554416635097	0.3333333333333333	1.5	0.0	0.20631524166155457	1.4833222388453187	0.1594417202030498
TRPM6	4.833333333333334	0.0	0.0	0.25876539377097135	-0.9238689307840293	0.13612676019198147	0.0	4.833333333333334	0.0	0.6063438244994758	1.9457796090021136	0.28196564637091226
MAP3K10	2.5	0.5	0.0	0.2245997490320073	-0.6034419213288166	0.13612676019198147	1.0	2.0	0.0	0.16893813933623675	0.3020285374496575	0.1594417202030498
ERN1	2.0	0.5	0.0	0.22245743154066522	-0.27356507332596325	0.13612676019198147	0.0	2.5	0.0	0.3041195482525559	1.1622714288988771	0.1594417202030498
PDK1	1.0	1.3333333333333333	0.0	0.3970285823524169	2.2016338611696504	0.13612676019198147	0.3333333333333333	2.0	0.0	0.41043522431747925	1.9082075240805094	0.22159646155310306
MYLK2	5.5	0.0	0.0	0.3367934103583369	-1.0908151631856666	0.13612676019198147	1.25	4.25	0.0	0.4298032190454091	1.104692280795351	0.22159646155310306
HIPK4	1.0	0.5	0.0	0.1106982974936897	0.7422022425323533	0.10828554416635097	0.0	2.5	0.0	0.3041195482525559	1.1622714288988771	0.1594417202030498
MAP3K1	1.0	0.0	0.0	0.2484205021040048	0.6811778159804592	0.13612676019198147	0.0	1.0	0.0	0.17248837731629782	0.32577016118175656	0.1594417202030498
CHUK	5.083333333333333	0.3333333333333333	0.0	0.5698262521242927	-2.2627494853152634	0.13612676019198147	1.9166666666666665	4.0	0.0	0.4230140149860219	0.3738148365523311	0.22159646155310306
GRK7	3.0	1.8333333333333333	0.0	0.1907324038040052	1.0717014653541888	0.13612676019198147	0.5833333333333333	4.25	0.0	0.8389273946699604	2.2255620960251417	0.4071736183413325
IKBKB	4.083333333333333	0.0	0.0	0.25876539377097135	-0.7132391832024414	0.13612676019198147	0.8333333333333333	3.75	0.0	0.6257277541621172	1.5122934330229238	0.2843970281928991
GRK5	6.833333333333333	5.166666666666667	0.0	1.1484567231297331	1.5126326931231997	0.13612676019198147	0.8333333333333333	12.166666666666668	0.0	2.635883808105334	3.3916247920778626	1.4183998638914277
WNK3	1.0	0.0	0.0	0.2484205021040048	0.6811778159804592	0.13612676019198147	0.0	1.0	0.0	0.17248837731629782	0.32577016118175656	0.1594417202030498
GRK4	4.0	3.0	0.0	0.6972329249515304	1.4168397419128291	0.13612676019198147	0.75	6.25	0.0	1.2725829556085326	2.455451767724752	0.6512728332994
PAK6	4.333333333333334	0.0	0.0	0.25876539377097135	-0.7865186325709481	0.13612676019198147	1.0	3.3333333333333335	0.0	0.29836881977578694	1.0655883416275767	0.1594417202030498
PAK5	3.3333333333333335	0.0	0.0	0.18700198010856753	-0.47095787201832506	0.13612676019198147	1.0	2.3333333333333335	0.0	0.17183634016092952	0.5310236936103524	0.1594417202030498
GRK1	4.25	4.0	0.0	1.0716822353974416	1.7992498724205488	0.13612676019198147	1.5833333333333333	6.666666666666666	0.0	0.7424626251233296	1.4525122046975067	0.3672474309048159
CIT	7.75	1.0	0.0	0.3950146097047889	-1.2954558835261714	0.13612676019198147	0.25	9.5	0.0	1.94207474959986	4.730204350190178	1.1383609795258969
DMPK	3.75	0.0	0.0	0.18700198010856753	-0.6100534816839867	0.13612676019198147	1.25	2.5	0.0	0.16708990513646793	0.30390668724932196	0.1594417202030498
MYLK	3.0	1.0	0.0	0.1828868920739685	0.15200309344505006	0.13612676019198147	1.0	3.0	0.0	0.2935397765077493	0.9068905956085185	0.1594417202030498
SGK1	5.5	1.0	0.0	0.24246731773796243	-0.7631080089684369	0.13612676019198147	0.0	7.5	0.0	1.131788647550394	2.54401960996745	0.5718820225142814
RPS6KA4	4.833333333333334	2.0	0.0	0.36873892848270845	0.48870319884536145	0.13612676019198147	1.0	5.833333333333334	0.0	0.5958893459836658	1.924168587040354	0.27902076963384775
PNCK	8.5	1.5	0.0	0.456366166164259	-0.8295413588101981	0.13612676019198147	1.0	10.0	0.0	1.4723439943263867	2.7914133781885826	0.8155273562822178
STK11	4.0	1.5	0.0	0.1634513697252894	0.3327754771243547	0.1348608680972862	1.0	4.5	0.0	0.44098738599792286	1.5222267453731935	0.22159646155310306
PRKD2	6.5	1.0	0.0	0.3161439885704107	-1.020698992667836	0.13612676019198147	1.5	6.5	0.0	0.7424626251233296	1.493178565425807	0.3672474309048159
CAMKK2	3.0	0.0	0.0	0.18424273323798251	-0.35018635492887573	0.13612676019198147	0.5	2.5	0.0	0.414874388847224	1.649813645071124	0.22159646155310306
NEK6	2.3333333333333335	0.0	0.0	0.1707369968424995	-0.07662128160291251	0.13612676019198147	0.3333333333333333	2.0	0.0	0.41043522431747925	1.9082075240805094	0.22159646155310306
STK26	5.5	0.3333333333333333	0.0	0.5698262521242927	-2.3832599381518933	0.13612676019198147	1.3333333333333333	4.5	0.0	0.4298032190454091	1.0964628395012912	0.22159646155310306
MASTL	3.333333333333333	0.0	0.0	0.18700198010856753	-0.4709578720183246	0.13612676019198147	1.3333333333333333	2.0	0.0	0.16425389666084317	-0.12373536842224479	0.1594417202030498
TLK1	1.0	0.0	0.0	0.2484205021040048	0.6811778159804592	0.13612676019198147	0.0	1.0	0.0	0.17248837731629782	0.32577016118175656	0.1594417202030498
MAP3K12	7.0	2.0	0.0	0.18405310216129822	-0.08152988549659847	0.13612676019198147	2.5	7.0	0.0	0.5645796807219648	0.8409074817686307	0.2599455607891584
PIM1	14.0	2.0	0.0	0.6411094445560804	-1.2040138920215933	0.13612676019198147	3.5	13.0	0.0	1.1005736129137216	1.3482794218343146	0.5492671596395267
PKN3	4.5	1.0	0.0	0.17485748296802087	-0.45720695352278334	0.13612676019198147	1.25	4.25	0.0	0.4298032190454091	1.104692280795351	0.22159646155310306
PIM2	12.5	1.5	0.0	0.8124071152344995	-1.4558972655021507	0.13612676019198147	1.0	13.0	0.0	2.0739844600259048	3.2380965040838916	1.1383609795258969
RPS6KA2	13.166666666666666	0.0	0.0	1.1124169261684815	-2.3455309941907836	0.13612676019198147	1.3333333333333333	12.833333333333332	0.0	1.8543633051218433	2.789843910897436	1.0937972295393126
RPS6KB1	7.833333333333333	2.0	0.0	0.18774374636990615	-0.2578490888811079	0.13612676019198147	0.3333333333333333	11.5	0.0	2.4018006020719658	4.632909352245374	1.3492187237142663
ATR	3.916666666666667	0.3333333333333333	0.0	0.33854310133884397	-1.8675821453040717	0.13612676019198147	0.5833333333333333	3.666666666666667	0.0	0.6257277541621172	2.0007221298428353	0.2843970281928991
CAMK1	2.0	0.0	0.0	0.17294919896477495	0.08061846020828463	0.13612676019198147	0.0	2.0	0.0	0.29934942280839744	0.9300979867698438	0.1594417202030498
MELK	1.0	0.0	0.0	0.2484205021040048	0.6811778159804592	0.13612676019198147	0.0	1.0	0.0	0.17248837731629782	0.32577016118175656	0.1594417202030498
CAMK1G	1.0	0.5	0.0	0.1106982974936897	0.7422022425323533	0.10828554416635097	0.0	1.5	0.0	0.17535527799928494	0.6573484261028382	0.1594417202030498
PRKD3	3.0	0.0	0.0	0.18424273323798251	-0.35018635492887573	0.13612676019198147	0.5	2.5	0.0	0.414874388847224	1.649813645071124	0.22159646155310306
SIK1	3.0	0.5	0.0	0.33529804652569695	-0.874469117916141	0.13612676019198147	0.5	3.0	0.0	0.6189943715031487	1.92283213947754	0.2843970281928991
CAMK4	4.5	1.0	0.0	0.17485748296802087	-0.45720695352278334	0.13612676019198147	1.25	4.25	0.0	0.4298032190454091	1.104692280795351	0.22159646155310306
CDC42BPA	2.5	0.0	0.0	0.1707369968424995	-0.14963607890113376	0.13612676019198147	1.25	2.25	0.0	0.16708990513646793	0.14693734091092267	0.1594417202030498
AKT2	10.166666666666666	0.0	0.0	0.7957323465695773	-1.9496555957798176	0.13612676019198147	0.8333333333333333	9.333333333333332	0.0	1.94207474959986	2.945524049067737	1.1383609795258969
AKT3	9.166666666666666	0.0	0.0	0.6963365742502098	-1.7971964866147632	0.13612676019198147	0.8333333333333333	8.333333333333332	0.0	1.7162957063550712	2.760220946466509	0.9824638840197852
AKT1	3.3333333333333335	1.0	0.0	0.1805522963401788	-0.005353234494206675	0.13612676019198147	1.3333333333333333	3.0	0.0	0.28577969246776647	0.48112668973661615	0.1594417202030498
MKNK1	3.3333333333333335	0.0	0.0	0.18700198010856753	-0.47095787201832506	0.13612676019198147	2.0	1.3333333333333333	0.0	0.48575823265829615	-1.3284709407541344	0.22159646155310306
PRKCE	3.3333333333333335	0.0	0.0	0.18700198010856753	-0.47095787201832506	0.13612676019198147	0.3333333333333333	3.0	0.0	0.6189943715031487	2.5130695822393703	0.2843970281928991
SNRK	3.8333333333333335	0.0	0.0	0.18700198010856753	-0.6364772064283291	0.13612676019198147	0.25	3.5833333333333335	0.0	0.6257277541621172	3.1988131988736406	0.2843970281928991
CDK6	3.3333333333333335	1.5	0.0	0.18834149983177606	0.6065763138272185	0.13612676019198147	0.3333333333333333	4.499999999999999	0.0	0.8389273946699604	3.1284057320040453	0.4071736183413325
CDK4	2.333333333333333	2.5	0.0	0.6553528951789793	1.9296106721086024	0.13612676019198147	0.0	4.833333333333334	0.0	0.6063438244994758	1.9457796090021136	0.28196564637091226
CDK13	4.333333333333334	1.3333333333333335	0.0	0.16600406122630074	0.032914622472735175	0.13612676019198147	0.3333333333333333	5.333333333333334	0.0	1.0545271950093151	3.3906729508796443	0.5438385926433842
CDK10	2.25	1.5	0.0	0.26650110343157124	1.1909427827113954	0.13612676019198147	0.75	4.0	0.0	0.829847736818042	1.7651362668573671	0.4071736183413325
CDK5	3.8333333333333335	1.5	0.0	0.18834149983177606	0.39687517138945316	0.13612676019198147	0.3333333333333333	4.999999999999999	0.0	0.8389273946699604	3.2906771609029226	0.4071736183413325
CDK12	2.833333333333333	1.3333333333333335	0.0	0.26650110343157124	0.6700938476891138	0.13612676019198147	0.3333333333333333	3.833333333333333	0.0	0.6257277541621172	2.883501779397049	0.2843970281928991
CDK9	1.0	2.333333333333333	0.0	0.897399519007722	3.0641303374197153	0.13612676019198147	0.3333333333333333	3.0	0.0	0.6189943715031487	2.5130695822393703	0.2843970281928991
CDK1	4.833333333333332	2.1666666666666665	0.0	0.38523257306922665	0.6134582298533087	0.13612676019198147	0.3333333333333333	6.666666666666667	0.0	1.2725829556085326	3.7404800783424434	0.6512728332994
CDK2	3.3333333333333335	1.6666666666666667	0.0	0.18834149983177606	0.7676816143795214	0.13612676019198147	1.0	4.0	0.0	0.4340666115406488	1.3421059768249928	0.22159646155310306
SRPK1	1.5	2.0	0.0	0.8680814762879236	2.230297619421794	0.13612676019198147	0.0	3.5	0.0	0.4490692140980899	1.5446047631050153	0.22159646155310306
NLK	3.0	1.0	0.0	0.1828868920739685	0.15200309344505006	0.13612676019198147	0.5	3.5	0.0	0.6257277541621172	2.155278225477911	0.2843970281928991
CDK3	2.5	1.6666666666666667	0.0	0.26650110343157124	1.1960651389061026	0.13612676019198147	0.0	5.166666666666666	0.0	0.7735358980876508	2.032723186281523	0.3749972752865131
CDKL5	10.0	0.5	0.0	1.157332930256353	-2.728248377065097	0.13612676019198147	1.0	9.5	0.0	1.301096692241528	2.70635760823581	0.6512728332994
