Kinase	up (Experiment01)	up (Experiment02)	down (Experiment01)	down (Experiment02)
CDK7	0.18289408702589674	-0.0	-0.048939771757805076	-0.06737425976882376
CHUK	0.17032386393813853	0.1253119716304201	-0.15280428590368728	-0.17254049651812045
CLK1	0.18897665189662735	0.132601195721031	-0.5057501546616058	-0.6169945858300294
CLK2	0.180831876943746	0.3799689806764448	-0.5160251361091316	-0.3527995741260299
CLK3	0.1741410770863695	0.134938256020404	-0.30567862637389703	-0.26688408011927156
CLK4	0.17211153820745648	0.13926166700551146	-0.4900476901487443	-0.38447849455148564
CSNK1A1	0.2055726128726262	0.13241117317789086	-0.053381672410182227	-0.07263005792397365
CSNK1A1L	0.1865079563114006	0.13524613710144534	-0.13417763291906584	-0.07865896642114148
CSNK1D	-0.0	-0.0	-0.01041003319051769	-0.013950336480131288
CSNK1E	0.18459568021162753	0.120504053034295	-0.06354164109351286	-0.16954850786609033
CSNK1G1	0.18675945336540856	0.13033632509305096	-0.059011224910965554	-0.07401520277938135
CSNK1G2	0.180831876943746	0.12533475932903854	-0.14489712908766736	-0.179178127175706
CSNK1G3	0.18325229864014006	0.13383293009273897	-0.059188549655607256	-0.12438135986106993
CSNK2A1	0.19506904786853585	0.13655583461015583	-0.01026259958479501	-0.014015942703126394
CSNK2A2	0.5255184761482052	0.13754632680755327	-0.04975942208172832	-0.06737425976882376
DAPK1	-0.0	-0.0	-0.05294726515946611	-0.01727317675804266
DAPK2	-0.0	-0.0	-0.01304779827092818	-0.015776306460923258
DAPK3	-0.0	-0.0	-0.011937069654985309	-0.01657142410132457
DMPK	0.18646622567491314	0.14810959157096817	-0.2889898763101115	-0.18499915736329817
EIF2AK2	1.0023088266289428	0.13543316403855546	-0.0579845733440436	-0.3542050877332078
GRK1	0.18260297632330866	0.12763696782565245	-0.05545602937396332	-0.07253143660391888
GRK2	-0.0	0.1407799573761964	-0.055630933250733865	-0.014424052042744565
GRK3	0.1868519005612249	0.12747444722401755	-0.13343330328784345	-0.07919661846441445
GRK4	0.18900958599431014	0.12394008358153587	-0.054647258196737235	-0.07458200738642347
GRK5	0.18115380625041988	0.12760581089132092	-0.05627036047708409	-0.07154085142802298
GRK6	0.18260297632330866	0.13043756271825685	-0.1476787044374758	-0.12260486368033822
GRK7	0.18468753120185274	0.12886710215985908	-0.05782173022598675	-0.07207445656911844
GSK3A	0.1669211100628357	0.13636832367914012	-0.15082496341543022	-0.08260419044350131
GSK3B	0.1866833153660224	0.13636832367914012	-0.13666377735967636	-0.1709152624396822
HIPK1	0.18280476619679453	0.1340103938077877	-0.16530785434351614	-0.1843365773460146
HIPK2	0.1741410770863695	0.12535352440749703	-0.14768129136650224	-0.1759208080026669
ICK	0.17032078502042777	0.14369553722025352	-0.5057501546616058	-0.38401292023291816
IKBKB	-0.0	-0.0	-0.011297978739919817	-0.03890568511302665
MAK	0.1774601476373083	0.13963999076090886	-0.3966355081694329	-0.345721174115783
MAP2K1	-0.0	0.1253119716304201	-0.2643217574193765	-0.1930742962397747
MAP2K2	-0.0	0.12152628746456635	-0.15145246427450232	-0.1778992275503656
MAP2K3	0.16881212732964798	0.12394008358153587	-0.14933689930614866	-0.07794274773480553
MAP2K4	0.17532447995448164	0.12886710215985908	-0.14481297296606865	-0.17873299959110672
MAP2K5	0.1867209728135783	0.12638706670403327	-0.14199484250727	-0.17607837956069256
MAP2K6	-0.0	0.12046727179089546	-0.1338500493271342	-0.07247307407959964
MAP2K7	0.07480738726152475	0.10853316226344543	-0.13447212087904148	-0.16797709356533105
MAP4K4	-0.0	-0.0	-0.0500357699911124	-0.06267954543283541
MAPK1	0.19697233429457256	0.3984985364035399	-1.9370168569716808	-2.0965457752588628
MAPK10	0.17379837052762165	0.13789619691158625	-0.525832701465642	-0.5742888672704692
MAPK11	0.18459568021162753	0.13642109616541315	-0.6362111463767732	-0.6317474831970525
MAPK12	0.1671408641335267	0.13948090739810082	-0.8042904762443076	-0.8967197308956727
MAPK13	0.18872665317862974	0.4080145469880618	-1.116393702202309	-0.9172729300368362
MAPK14	-0.0	-0.0	-0.8289121449112985	-0.9474574274925407
MAPK3	0.1993127232706779	0.38570022875005316	-1.1886500127059043	-1.278023277794125
MAPK7	-0.0	0.12165002253422515	-2.3035195032489946	-2.140798994850109
MAPK8	0.18325229864014006	0.14225466248389582	-0.788929141041349	-0.760422720237442
MAPK9	0.18306593164930535	0.13122936697041448	-0.7825174869514688	-0.8703878952623197
MINK1	-0.0	0.11705664432598241	-0.05061488412989851	-0.06550969683274178
MOK	0.18289408702589674	0.36827824259333136	-0.5418176455291789	-0.5758636205351232
NEK1	0.183117796697577	0.12767937215817793	-0.15314245513249783	-0.18645363227432113
NEK11	0.19098877001654213	0.14397479928466458	-0.2903083122149699	-0.19358203212291994
NEK2	0.17243192839579866	0.1340103938077877	-0.13759467097599434	-0.07223169300945077
NEK3	0.19098877001654213	0.13948090739810082	-0.15270724076942888	-0.1878144991485117
NEK4	0.17229488049148697	0.13636832367914012	-0.2771347419564691	-0.34392266843181213
NLK	0.18646622567491314	0.13948090739810082	-0.5267488226071493	-0.34708462448678384
NRK	-0.0	0.05610393811825263	-0.056779612400408665	-0.07057069527897948
PAK1	0.1757280404814504	0.3708907491788079	-0.7915130924874394	-0.591164881899147
PAK2	0.19319728443982995	0.14082715932666356	-0.5278944523870978	-0.609896348338964
PAK3	0.16512075753307984	0.40424055415279697	-1.1324579377633266	-0.8841078759382406
PAK4	0.1722264425888611	0.3802885994429188	-0.8531660013758525	-0.6283889857104294
PAK5	-0.0	0.1407894261755718	-0.7825174869514688	-0.5701524754791872
PAK6	0.07473908390620285	0.13963999076090886	-0.8205523425192446	-0.5821357216009148
PDK1	0.1652898006547846	-0.0	-0.06150131945185129	-0.11940436407947977
PIM1	0.16504363556266588	0.1407217493086495	-0.5455580340196653	-0.3641016368563663
PIM2	0.18298730149900944	0.4491477007111321	-1.4756783863566763	-0.9772187969609561
PIM3	0.16537002643965912	0.35752335097743393	-0.8012915334392277	-0.5899017248245624
PNCK	0.1866833153660224	0.1377656726172742	-0.15247869514296952	-0.18107989992917545
PRKAA1	0.1668313052362693	0.34895553489308134	-0.31875036378824245	-0.35316152314243016
PRKAA2	0.183117796697577	0.12763696782565245	-0.1485548338756009	-0.17871466240707493
PRKACA	-0.0	0.38570022875005316	-1.5168364282528002	-0.9133261317720964
PRKACB	-0.0	0.38570022875005316	-0.77569992421669	-0.3721495214467228
PRKACG	0.16537002643965912	0.35691776544746695	-0.6376696455249596	-0.36924260317248436
PRKCA	0.16511928478624616	0.12649042451420567	-0.13647650467418315	-0.1232890633650683
PRKCB	-0.0	0.13381975381388303	-0.13432605784028825	-0.06633656563896952
PRKCD	0.17218074470615258	0.12900308407414596	-0.1495158185093366	-0.1715853262965194
PRKCE	0.16343536376376555	0.12754013752045143	-0.012457456179339747	-0.015108685510401927
PRKCG	0.1703244726749277	0.13013385835900598	-0.1601486744742003	-0.18861834383063278
PRKCH	0.1652033913985755	0.1289402087888259	-0.14528729490245776	-0.17445601590509227
PRKCI	0.17218074470615258	0.12535352440749703	-0.054707773349107626	-0.07126920644565346
PRKCQ	0.1722264425888611	0.11813962473222346	-0.1425085528887169	-0.12002787869442154
PRKCZ	0.16519642019280487	0.12394008358153587	-0.14370348959245366	-0.1715235542908407
PRKD1	0.1701660357888052	0.4012343390353622	-0.52508674316311	-0.3494254070163948
PRKD2	0.18279433639074325	0.13772971691669642	-0.1574500733194367	-0.18965883735706734
PRKD3	0.1687613821028114	0.12886710215985908	-0.1455199247017542	-0.1781094096906549
PRKDC	-0.0	-0.0	0.0	0.0
PRKG1	0.1794765387192974	0.12761124028662751	-0.13322558246592342	-0.17632961431373148
PRKG2	-0.0	0.3708907491788079	-0.3111931338630631	-0.07977684052038535
ROCK1	0.17066193273755603	0.38889754321860603	-0.2867041272785676	-0.178300238334678
ROCK2	0.20571548061843103	0.42045081454112726	-0.3072196018221756	-0.17469742931211332
RPS6KA1	0.5002349177906167	0.13543316403855546	-0.5212522103981403	-0.617778370267148
RPS6KA3	0.1722264425888611	0.13778752531667493	-0.3966355081694329	-0.3542050877332078
RPS6KB1	0.9736756561662363	0.139419151761655	-0.7925800714513511	-1.2338124378811013
RPS6KB2	0.5686326047064465	0.39538045195072535	-0.9368132751632717	-1.2815030350979384
SGK1	0.16511928478624616	0.12763696782565245	-0.5276030642397361	-0.5870556296866735
SGK2	0.18671769855714976	0.1407799573761964	-0.5532223896817955	-0.3945159546468111
SGK3	0.18614433663282381	0.13798505705774228	-0.34192458038513096	-0.3722688017470909
SLK	-0.0	0.11589524522799696	-0.05164031623599843	-0.016815938795796823
STK10	-0.0	-0.0	-0.050790736137429925	-0.0635323743329978
STK11	-0.0	0.12767692441124584	-0.14760842877927444	-0.0691957023080028
STK24	-0.0	-0.0	-0.054099768585267126	-0.06880940251879018
STK25	-0.0	-0.0	-0.046210728463838356	-0.06755303006626023
STK26	-0.0	-0.0	-0.046782975842585624	-0.06465103775522693
STK3	-0.0	-0.0	-0.012589985520425118	-0.015914980681122026
STK4	-0.0	-0.0	-0.011696813747551075	-0.01597997282060102
TGFBR2	0.17407155752012257	0.13774374884895077	-0.27543315084744907	-0.17871466240707493
TLK1	0.18872336376595394	0.13383293009273897	-0.05440243338863949	-0.07106427138582826
TLK2	0.1888590968993199	0.13160731152635613	-0.05607631742340363	-0.08093659239347864
TNIK	0.1703246472852949	-0.0	-0.011365845609137986	-0.017574160018460513
TTK	-0.0	0.1217799977376763	-0.04782297792039513	-0.015422277509707226
ABL1	-0.0	-0.0	0.0	0.0
ABL2	-0.0	-0.0	0.0	0.0
BLK	-0.0	-0.0	0.0	0.0
BMX	-0.0	-0.0	0.0	0.0
BTK	-0.0	-0.0	0.0	0.0
CSF1R	-0.0	-0.0	0.0	0.0
EGFR	-0.0	-0.0	-0.5942340139384784	-0.5933603569673042
EPHA1	-0.0	-0.0	0.0	0.0
EPHA2	-0.0	-0.0	0.0	0.0
EPHA3	-0.0	-0.0	0.0	0.0
EPHA4	-0.0	-0.0	0.0	0.0
EPHA5	-0.0	-0.0	0.0	0.0
EPHA6	-0.0	-0.0	0.0	0.0
EPHA7	-0.0	-0.0	0.0	0.0
EPHA8	-0.0	-0.0	0.0	0.0
EPHB1	-0.0	-0.0	0.0	0.0
EPHB2	0.25523020390764467	-0.0	0.0	-0.5268266598920847
EPHB3	-0.0	-0.0	0.0	0.0
EPHB4	-0.0	-0.0	0.0	0.0
EPHB6	-0.0	-0.0	0.0	0.0
ERBB2	-0.0	-0.0	-0.6344498963826771	-0.5939649684249612
ERBB3	-0.0	-0.0	-0.5945193921139271	-0.5938221197303549
ERBB4	-0.0	-0.0	0.0	0.0
FGR	-0.0	-0.0	0.0	0.0
FLT1	-0.0	-0.0	0.0	0.0
FLT3	-0.0	-0.0	0.0	0.0
FRK	-0.0	-0.0	0.0	0.0
FYN	-0.0	-0.0	0.0	0.0
HCK	-0.0	-0.0	0.0	-0.18777564746884912
IGF1R	-0.0	-0.0	0.0	0.0
INSR	-0.0	-0.0	0.0	0.0
INSRR	-0.0	-0.0	0.0	0.0
ITK	-0.0	-0.0	0.0	0.0
KDR	-0.0	-0.0	0.0	0.0
KIT	-0.0	-0.0	0.0	0.0
LCK	-0.0	-0.0	0.0	0.0
MET	-0.0	-0.0	0.0	0.0
MST1R	-0.0	-0.0	0.0	0.0
NTRK1	-0.0	-0.0	0.0	0.0
NTRK2	-0.0	-0.0	0.0	0.0
NTRK3	-0.0	-0.0	0.0	0.0
PDGFRA	-0.0	-0.0	0.0	0.0
PDGFRB	-0.0	-0.0	0.0	-0.5271993055541666
PTK6	-0.0	-0.0	0.0	0.0
SRC	-0.0	-0.0	0.0	0.0
SRMS	-0.0	-0.0	0.0	0.0
TEC	-0.0	-0.0	0.0	0.0
TXK	-0.0	-0.0	0.0	0.0
TYK2	-0.0	-0.0	0.0	0.0
YES1	-0.0	-0.0	0.0	0.0
